回復
['烤鱸魚好吃、咖啡黑皮酒燉牛肉口味濃郁下飯，啤酒選擇很多，是個小酌的好地方。 ', '服務親切、介紹客人啤酒種類很專業，很歡喜店裡的氣氛 ', '香蕉的甜味配上起司真的很棒很特別！豬肋排飯海鮮飯也都很大份很好吃喔～ ']
['老闆非常用心在經營，裡面的店員男的帥女的美，店內服務非常好，可比美五星飯店。 ', '服務人員很親切、貼心～主餐義大利麵、燉飯都好好吃！甜點鬆餅司康也很棒🤤 ', '一間難得氣氛佳、餐點用心，服務專業的餐廳，建議可以來個悠閒的下午茶時光 ']
['飯(均加飯加麵)，餘選擇多道沙拉及開胃菜，上菜速度快，食材與口味都很好。 ', '海鮮燉飯料多實在蝦子非常甜美，牛小排份量十足價格親民，值得推薦的好餐廳 ', '上餐速度快，食物也好吃，氣氛環境都很棒，服務人員Nina的服務也很棒。 ']
['氣氛不錯，交通也很方便。五星評論送薯條，當月生日壽星套餐打8折，還送一個小蛋糕。 ', '街景美氣氛佳，服務好食材棒。真是高檔餐廳花得滿意。 ', '酥皮海鮮濃湯, 燻鮭魚蘿蔓沙拉,嫩肩牛排 口味符合預期 服務親切 用餐愉快 ']
['其實美式餐廳，就是炸物，雞翅，BBQ,義大利麵，薯條，啤酒，餐點很多香料。 ', '鮭魚沙拉和雞肉比薩味道不錯，松露牛肉燉飯和牛肉丸前菜好吃 ', '再點了一次 牛排三明治 佐地瓜薯條 飯後甜品是胡蘿蔔蛋糕 怎麼可以這麼好吃😋 ']
['奶油鮮蝦秀珍菇義大利麵超級好吃 什麼都好吃 牛肉漢堡 海鮮拼盤 蛤蠣濃湯也好喝！ ', '戶外區夜景很棒！服務人員非常熱情，餐點豐盛cp高，生日或節日有許多慶祝互動活動。 ', '咖啡茶無限續杯 起司蛋糕還蠻好吃的 骰子牛口味偏鹹比較有嚼勁 ']
['氣氛佳，餐點好吃，夜景很美，人員服務極優，推薦店員Jill。 ', '食材高級、服務人員親切專業，肉處理得恰到好處。裝潢舒適寬敞，景色優美。 ', '甜點部分清爽不甜膩，頗為驚艷，還有飯後茶咖啡可以選擇。 ']
['氣氛上佳，服務溫和周到 主菜菲力、海鮮味道熟度合宜 松露薯條與檸檬派稍嫌平凡 ', '珍寶蟹餅、龍蝦濃湯 、餐前麵包都很好吃,幸運坐在窗邊位置,夜景美氣氛佳! ', '這種服務態度比八方雲集水餃店還差，東西貴成這樣服務態度比夜市賣滷味還扯，扯到爆 ']
['包廂低消6000元， 空間寬敞明亮 ，菜色以四川菜為主。口味佳，服務可。 ', '辣子雞丁 辣味擔擔麵 肉絲炒飯 老皮嫩肉 腐乳空心菜~~搭台啤~~ 讚啦~~ ', '推薦口水雞、水煮牛、蒼蠅頭和剝皮辣椒雞湯😋 ']
['餐點口味好吃，鳳梨炒飯，鹹蛋中卷，涼拌蝦筍，單點份量大，莓果思慕昔真材實料好好喝 ', '服務人員很好調酒師帥又有禮貌調酒好喝生日特調、長島冰茶、莫奇多、蜂蜜檸檬👍👍👍 ', '綠咖哩雞過於甜膩，青木瓜沙拉不夠脆口， 泰式炒麵的河粉過於軟爛。 ']
['雙人下午茶甜點小巧可愛，布丁和巧克力蛋糕頗具功力，司康和小漢堡尚有進步空間。 ', '餐廳很美，服務員專業！伊比利豬好吃的像牛排！雞肉主菜香韌有彈性！ ', '環境非常好，菜色多樣，口味層次豐富，服務也到位，外籍的工作人員很風趣，超讚的。 ']
